context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
8192,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.9,288,4,8780.48780487805,8780.48780487805,1.0,weight
8192,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.95,288,4,8780.48780487805,8780.48780487805,1.0,weight
16384,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.9,144,2,4390.243902439025,4390.243902439025,1.0,weight
16384,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.95,144,2,4390.243902439025,4390.243902439025,1.0,weight
32768,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.9,72,1,2195.1219512195125,2195.1219512195125,1.0,weight
32768,A100,A100x72,Qwen3-32B,1,72,1,TP1/DP72/EP1,0.95,72,1,2195.1219512195125,2195.1219512195125,1.0,weight
8192,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,1620,45,107123.23019700267,98600.12172854536,0.9204364127856948,weight
8192,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,1692,47,107123.23019700267,102982.34936092516,0.9613446977983924,weight
16384,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,828,23,53561.61509850134,50395.61777236763,0.9408905552920436,weight
16384,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,864,24,53561.61509850134,52586.73158855753,0.9817988403047412,weight
32768,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,396,11,26779.335520862158,24102.251978088865,0.9000317412398923,weight
32768,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,432,12,26779.335520862158,26293.365794278765,0.9818528086253371,weight
65536,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,216,6,13389.667760431079,13146.682897139382,0.9818528086253371,weight
65536,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,216,6,13389.667760431079,13146.682897139382,0.9818528086253371,weight
131072,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,108,3,6573.341448569691,6573.341448569691,1.0,weight
131072,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,108,3,6573.341448569691,6573.341448569691,1.0,weight
262144,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.9,36,1,2191.113816189897,2191.113816189897,1.0,weight
262144,A100,A100x72,Qwen3-32B,2,36,1,TP2/DP36/EP1,0.95,36,1,2191.113816189897,2191.113816189897,1.0,weight
8192,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,810,45,107056.32226626165,98062.95399515741,0.9159940479859128,weight
8192,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,846,47,107056.32226626165,102421.30750605329,0.9567048945630644,weight
16384,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,414,23,53527.455238514165,50121.06537530267,0.9363618194058939,weight
16384,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,432,24,53527.455238514165,52300.242130750616,0.9770732028583241,weight
32768,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,216,12,26763.727619257083,26150.121065375308,0.9770732028583241,weight
32768,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,216,12,26763.727619257083,26150.121065375308,0.9770732028583241,weight
65536,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,108,6,13381.135905001309,13075.060532687654,0.9771263535108962,weight
65536,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,108,6,13381.135905001309,13075.060532687654,0.9771263535108962,weight
131072,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,54,3,6690.567952500654,6537.530266343827,0.9771263535108962,weight
131072,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,54,3,6690.567952500654,6537.530266343827,0.9771263535108962,weight
262144,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,36,2,3345.283976250327,3334.130363371013,0.9966658696366292,kv
262144,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,36,2,3345.283976250327,3334.130363371013,0.9966658696366292,kv
524288,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,18,1,1671.7099307178023,1667.0651816855066,0.9972215580305243,kv
524288,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.95,18,1,1671.7099307178023,1667.0651816855066,0.9972215580305243,kv
1048576,A100,A100x72,Qwen3-32B,4,18,1,TP4/DP18/EP1,0.9,18,1,835.8549653589012,835.8549653589012,1.0,kv
