deployment,gpu_model,gpus_per_node,hbm_gb_per_gpu,node_hbm_gb,usable_hbm_gb,node_source,tp_size,dp_size,ep_size,parallelism,kv_replication_factor,dense_params_b_est,expert_params_b_est,resident_weight_gb_bf16,weight_gb_per_gpu_after_tp_ep,residual_hbm_gb_for_kv,residual_hbm_gb_for_kv_per_gpu,kv_bytes_per_token_per_gpu_bf16,max_resident_kv_tokens,max_resident_kv_tokens_per_gpu,max_resident_kv_tokens_per_dp_replica,max_resident_kv_k_tokens,feasible_after_tp_dp_ep_weights,policy,model,params_b,active_params_b,num_experts,experts_per_token,dense_params_b_config,expert_params_b_config,weight_gb_bf16,layers,kv_formula,kv_heads,head_dim,mla_kv_lora_rank,mla_qk_rope_head_dim,kv_bytes_per_token_bf16,kv_mb_per_1k_tokens_bf16,model_source
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,17.116751872,653.908770816,1342.051045376,18.639597852444442,3841.948954624,53.36040214755556,976.0,54672543,54672543,54672543,54672.543183970854,True,capacity_opt,DeepSeek-V3/R1-671B,671.025522688,37.0,256.0,8.0,17.116751872,653.908770816,1342.051045376,61,mla,,,512.0,64.0,70272,70.272,"DeepSeek-V3/R1 public config, optimized MLA KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,17.116751872,653.908770816,3772.6298112,52.397636266666666,1411.3701888,19.602363733333334,70272.0,20084389,278949,278949,20084.38907103825,True,dp_max,DeepSeek-V3/R1-671B,671.025522688,37.0,256.0,8.0,17.116751872,653.908770816,1342.051045376,61,mla,,,512.0,64.0,70272,70.272,"DeepSeek-V3/R1 public config, optimized MLA KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,11.721304064,1014.68602368,2052.814655488,28.511314659555556,3131.185344512,43.48868534044445,976.0,44558079,44558079,44558079,44558.07924225865,True,capacity_opt,Kimi-K2-1T-A32B,1026.407327744,32.0,384.0,8.0,11.721304064,1014.68602368,2052.814655488,61,mla,,,512.0,64.0,70272,70.272,"Moonshot Kimi-K2 public config/model card, optimized MLA KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,11.721304064,1014.68602368,3717.2398325759996,51.628331008,1466.7601674240004,20.371668991999996,70272.0,20872611,289897,289897,20872.611672131156,True,dp_max,Kimi-K2-1T-A32B,1026.407327744,32.0,384.0,8.0,11.721304064,1014.68602368,2052.814655488,61,mla,,,512.0,64.0,70272,70.272,"Moonshot Kimi-K2 public config/model card, optimized MLA KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,6.974609408,277.025390592,568.0,7.888888888888889,4616.0,64.11111111111111,611.5555555555555,104832848,104832848,104832848,104832.8488372093,True,capacity_opt,DeepSeek-V4-Flash-284B,284.0,35.0,128.0,8.0,6.974609408,277.025390592,568.0,43,shared_kv,1.0,512.0,,,44032,44.032,"DeepSeek-V4-Flash public config/model card, shared KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,6.974609408,277.025390592,1558.394535936,21.644368554666666,3625.605464064,50.35563144533333,44032.0,82340240,1143614,1143614,82340.24037209302,True,dp_max,DeepSeek-V4-Flash-284B,284.0,35.0,128.0,8.0,6.974609408,277.025390592,568.0,43,shared_kv,1.0,512.0,,,44032,44.032,"DeepSeek-V4-Flash public config/model card, shared KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,52.603813888,1547.396186112,3200.0,44.44444444444444,1984.0,27.555555555555557,611.5555555555555,45058139,45058139,45058139,45058.139534883725,True,capacity_opt,DeepSeek-V4-Pro-1.6T,1600.0,64.0,512.0,8.0,52.603813888,1547.396186112,3200.0,43,shared_kv,1.0,512.0,,,44032,44.032,"DeepSeek-V4-Pro public config/model card, shared KV cache layout"
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,4,18,72,TP4/DP18/EP72,1,52.603813888,1547.396186112,4988.529672191999,69.285134336,195.47032780800055,2.7148656640000013,11008.0,4439278,246626,246626,4439.278883720943,True,dp_max,DeepSeek-V4-Pro-1.6T,1600.0,64.0,512.0,8.0,52.603813888,1547.396186112,3200.0,43,shared_kv,1.0,512.0,,,44032,44.032,"DeepSeek-V4-Pro public config/model card, shared KV cache layout"
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,1.540882432,28.991029248,61.06382336,61.06382336,23.536176640000008,23.536176640000008,98304.0,239422,239422,239422,239.42236979166674,True,capacity_opt,Qwen3-30B-A3B,30.53191168,3.3,128.0,8.0,1.540882432,28.991029248,61.06382336,48,gqa,4.0,128.0,,,98304,98.304,Qwen3-30B-A3B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,1.540882432,28.991029248,61.06382336,61.06382336,23.536176640000008,23.536176640000008,98304.0,239422,239422,239422,239.42236979166674,True,dp_max,Qwen3-30B-A3B,30.53191168,3.3,128.0,8.0,1.540882432,28.991029248,61.06382336,48,gqa,4.0,128.0,,,98304,98.304,Qwen3-30B-A3B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,32.8,0.0,65.6,65.6,19.000000000000014,19.000000000000014,163840.0,115966,115966,115966,115.96679687500009,True,capacity_opt,Qwen3-32B,32.8,,,,32.8,0.0,65.6,64,gqa,8.0,80.0,,,163840,163.84,Qwen3-32B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,32.8,0.0,65.6,65.6,19.000000000000014,19.000000000000014,163840.0,115966,115966,115966,115.96679687500009,True,dp_max,Qwen3-32B,32.8,,,,32.8,0.0,65.6,64,gqa,8.0,80.0,,,163840,163.84,Qwen3-32B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,70.6,0.0,141.2,141.2,0.0,0.0,327680.0,0,0,0,0.0,False,capacity_opt,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,70.6,0.0,141.2,141.2,0.0,0.0,327680.0,0,0,0,0.0,False,dp_max,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.996440576,227.096395776,470.185672704,470.185672704,0.0,0.0,192512.0,0,0,0,0.0,False,capacity_opt,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
H100NVLx1,H100NVL,1,94,94,84.60000000000001,NVIDIA H100 NVL 94GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.996440576,227.096395776,470.185672704,470.185672704,0.0,0.0,192512.0,0,0,0,0.0,False,dp_max,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
