model,context_len,params_b,active_params_b,is_moe,kv_formula,kv_read_gb_bf16,weight_total_gb_bf16,weight_active_gb_bf16,kv_to_total_weight_ratio,kv_to_active_weight_ratio,crossover_total_context,crossover_active_context
GLM-4.5-355B-A32B,262144,355.0,32.0,True,gqa,98.784247808,710.0,64.0,0.1391327433915493,1.543503872,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,524288,355.0,32.0,True,gqa,197.568495616,710.0,64.0,0.2782654867830986,3.087007744,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,1048576,355.0,32.0,True,gqa,395.136991232,710.0,64.0,0.5565309735661972,6.174015488,1884128.7364130435,169836.95652173914
Llama-3.1-405B,4096,405.0,,False,gqa,2.113929216,810.0,810.0,0.0026097891555555554,0.0026097891555555554,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,8192,405.0,,False,gqa,4.227858432,810.0,810.0,0.005219578311111111,0.005219578311111111,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,16384,405.0,,False,gqa,8.455716864,810.0,810.0,0.010439156622222221,0.010439156622222221,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,32768,405.0,,False,gqa,16.911433728,810.0,810.0,0.020878313244444443,0.020878313244444443,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,65536,405.0,,False,gqa,33.822867456,810.0,810.0,0.041756626488888886,0.041756626488888886,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,131072,405.0,,False,gqa,67.645734912,810.0,810.0,0.08351325297777777,0.08351325297777777,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,262144,405.0,,False,gqa,135.291469824,810.0,810.0,0.16702650595555554,0.16702650595555554,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,524288,405.0,,False,gqa,270.582939648,810.0,810.0,0.3340530119111111,0.3340530119111111,1569475.4464285714,1569475.4464285714
Llama-3.1-405B,1048576,405.0,,False,gqa,541.165879296,810.0,810.0,0.6681060238222222,0.6681060238222222,1569475.4464285714,1569475.4464285714
Qwen3-Coder-480B-A35B,4096,480.15409152,35.0,True,gqa,1.040187392,960.30818304,70.0,0.0010831808062981723,0.014859819885714285,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,8192,480.15409152,35.0,True,gqa,2.080374784,960.30818304,70.0,0.0021663616125963446,0.02971963977142857,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,16384,480.15409152,35.0,True,gqa,4.160749568,960.30818304,70.0,0.004332723225192689,0.05943927954285714,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,32768,480.15409152,35.0,True,gqa,8.321499136,960.30818304,70.0,0.008665446450385379,0.11887855908571428,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,65536,480.15409152,35.0,True,gqa,16.642998272,960.30818304,70.0,0.017330892900770757,0.23775711817142856,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,131072,480.15409152,35.0,True,gqa,33.285996544,960.30818304,70.0,0.034661785801541514,0.4755142363428571,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,262144,480.15409152,35.0,True,gqa,66.571993088,960.30818304,70.0,0.06932357160308303,0.9510284726857142,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,524288,480.15409152,35.0,True,gqa,133.143986176,960.30818304,70.0,0.13864714320616606,1.9020569453714284,3781455.4838709678,275642.64112903224
Qwen3-Coder-480B-A35B,1048576,480.15409152,35.0,True,gqa,266.287972352,960.30818304,70.0,0.2772942864123321,3.804113890742857,3781455.4838709678,275642.64112903224
DeepSeek-V3/R1-671B,4096,671.025522688,37.0,True,mla,0.287834112,1342.051045376,74.0,0.00021447329666909802,0.003889650162162162,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,8192,671.025522688,37.0,True,mla,0.575668224,1342.051045376,74.0,0.00042894659333819605,0.007779300324324324,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,16384,671.025522688,37.0,True,mla,1.151336448,1342.051045376,74.0,0.0008578931866763921,0.015558600648648648,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,32768,671.025522688,37.0,True,mla,2.302672896,1342.051045376,74.0,0.0017157863733527842,0.031117201297297295,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,65536,671.025522688,37.0,True,mla,4.605345792,1342.051045376,74.0,0.0034315727467055684,0.06223440259459459,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,131072,671.025522688,37.0,True,mla,9.210691584,1342.051045376,74.0,0.006863145493411137,0.12446880518918918,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,262144,671.025522688,37.0,True,mla,18.421383168,1342.051045376,74.0,0.013726290986822274,0.24893761037837836,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,524288,671.025522688,37.0,True,mla,36.842766336,1342.051045376,74.0,0.027452581973644547,0.4978752207567567,19097948.61930783,1053051.0018214937
DeepSeek-V3/R1-671B,1048576,671.025522688,37.0,True,mla,73.685532672,1342.051045376,74.0,0.054905163947289094,0.9957504415135134,19097948.61930783,1053051.0018214937
Kimi-K2-1T-A32B,4096,1026.407327744,32.0,True,mla,0.287834112,2052.814655488,64.0,0.0001402143691981658,0.004497408,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,8192,1026.407327744,32.0,True,mla,0.575668224,2052.814655488,64.0,0.0002804287383963316,0.008994816,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,16384,1026.407327744,32.0,True,mla,1.151336448,2052.814655488,64.0,0.0005608574767926632,0.017989632,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,32768,1026.407327744,32.0,True,mla,2.302672896,2052.814655488,64.0,0.0011217149535853264,0.035979264,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,65536,1026.407327744,32.0,True,mla,4.605345792,2052.814655488,64.0,0.0022434299071706527,0.071958528,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,131072,1026.407327744,32.0,True,mla,9.210691584,2052.814655488,64.0,0.0044868598143413055,0.143917056,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,262144,1026.407327744,32.0,True,mla,18.421383168,2052.814655488,64.0,0.008973719628682611,0.287834112,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,524288,1026.407327744,32.0,True,mla,36.842766336,2052.814655488,64.0,0.017947439257365222,0.575668224,29212412.561020035,910746.8123861566
Kimi-K2-1T-A32B,1048576,1026.407327744,32.0,True,mla,73.685532672,2052.814655488,64.0,0.035894878514730444,1.151336448,29212412.561020035,910746.8123861566
DeepSeek-V4-Pro-1.6T,4096,1600.0,64.0,True,shared_kv,0.180355072,3200.0,128.0,5.636096e-05,0.001409024,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,8192,1600.0,64.0,True,shared_kv,0.360710144,3200.0,128.0,0.00011272192,0.002818048,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,16384,1600.0,64.0,True,shared_kv,0.721420288,3200.0,128.0,0.00022544384,0.005636096,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,32768,1600.0,64.0,True,shared_kv,1.442840576,3200.0,128.0,0.00045088768,0.011272192,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,65536,1600.0,64.0,True,shared_kv,2.885681152,3200.0,128.0,0.00090177536,0.022544384,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,131072,1600.0,64.0,True,shared_kv,5.771362304,3200.0,128.0,0.00180355072,0.045088768,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,262144,1600.0,64.0,True,shared_kv,11.542724608,3200.0,128.0,0.00360710144,0.090177536,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,524288,1600.0,64.0,True,shared_kv,23.085449216,3200.0,128.0,0.00721420288,0.180355072,72674418.60465117,2906976.7441860465
DeepSeek-V4-Pro-1.6T,1048576,1600.0,64.0,True,shared_kv,46.170898432,3200.0,128.0,0.01442840576,0.360710144,72674418.60465117,2906976.7441860465
